,follows_target,n_followers,n_following,n_posts,posts_over_time,bio,post_1_content,post_2_content,post_3_content,likes_post_1,comments_post_1,likes_post_2,comments_post_2,likes_post_3,comments_post_3,likes_post_4,comments_post_4,likes_post_5,comments_post_5,post_4_content
asamoahoriginal,1.0,2840.0,1169.0,17.0,1.0,@asamoah_de @udkberlin213719 / Westside🇩🇪 🇬🇭,"asamoahoriginal
📸 @nepomukboesker 🎥@simbayua
Soon available @goodbois 🤝🖤
https://goodbois.de
1w","asamoahoriginal
📸 @portrapapi
Tb #lastmeal #error 🔚
2w","asamoahoriginal
📸 @julius_br
7w",1.0,,1.0,,,,,,,,
danidisco.xo,1.0,74.0,212.0,66.0,,✨ Get your freak on 📚 Beautician📚 Hair stylist woman/barbier🎓 Leisure Hospitality Executieve 3&4 #sport #teamweirdo #inkedandpierced,,,,1.0,,1.0,,,,,,,,
srhmrnll,1.0,360.0,688.0,5.0,,VIE 🌿✨,,,,1.0,,,,,,,,,,
tamara.nna,1.0,292.0,275.0,20.0,1.0,"appreciate life, it‘s worth it.• plant-based • slow fashion • minimalism • sustainable everyday life •- thankful living -","tamara.nna
Die Natur hat nun mal keine Einheitsgröße, „normale“ Farbe oder gleiche Eigenschaften. Sie ist bunt und unglaublich vielfältig. Warum sollte nicht jeder so sein dürfen?
all lives matter 🖤🤍 #diversity #alllivesmatter #appreciate #blackouttuesday #colorful #notthesame #everyoneslivesmatter #everyonesdifferent #spreadlove #nudelsalat #vegan #veganmeals #bodyimage #bodyshaming #bodypositivity #showyourself
4d","tamara.nna
„Mein Glück hängt nicht von anderen Menschen ab“
Keiner hat das Recht dich schlecht fühlen zu lassen. Du steckst in deinem Körper, nur du lebst dein Leben.
#staytoyourself #beyou #beyourself #selflove #happymind #mindset #happymindset #liveyourlife #loveyourself #stehzudir #takecareofyourself #youareenough #youaregreat
6w","tamara.nna
#umweltheld 🌱 Mit Gemüsenetzen/beuteln kann man so einfach ganz viel Plastik, und auch andere Verpackungsmaterialien sparen👏🏻
Wer verwendet die auch so gern?

#ecoyoucommunity #sustainable #reuseable #lesswaste #organic #biogemüse #noplastic #noplanetb #eattherainbow #plantbased
8w",1.0,,,,,,,,,,
plaindaan,1.0,811.0,1328.0,135.0,1.0,,"plaindaan
looking for parties........
5d","plaindaan
bmw was te duur
18w","plaindaan
stay hydrated! 🚰
20w",1.0,,,,,,,,,,
unravel______,1.0,470.0,420.0,155.0,1.0,,"unravel______
—
1w",,"unravel______
studies —
5w",1.0,,,,,,,,,,
mylenarecinosofficial,1.0,1580.0,748.0,57.0,1.0,♡The Voice Kids seizoen 9🎤#teamalib♡@svdm._ 💑❤♡Almere📍♡HP V15 📚♡Zangeres🎙♡Mijn blind audition⬇️,"mylenarecinosofficial
Skyward~Davina Michelle (Door Mylena Recinos)

Hi iedereen! Misschien een beetje laat maar hier is mijn blind audition! Ik hoop dat @davinamichelleofficial dit ziet❤ Ben namelijk mega fan van haar❤ #davinamichelle #tvk #thevoicekids #teamalib #skyward @thevoicekidsnl
1d","mylenarecinosofficial
Love you guys!♡
.
. #loveyou #cuties #love #tvk #thevoicekids #teamalib #sun #sunny
5d","mylenarecinosofficial
♡🌼 Flowergirl
•
•
#flower #girl #flowergirl #sunny #♡ #🌼 #tvk #thevoicekids #teamalib 🌼🍀
1w",1.0,,,,,,,,,,
mery_l12,1.0,167.0,1050.0,27.0,1.0,🔆 Mᴀʀʏsɪᴀ 🔆⚜𝐇𝐚𝐫𝐜𝐞𝐫𝐤𝐚⚜✏𝕃𝕦𝕓𝕚𝕖 𝕤𝕠𝕓𝕚𝕖 𝕡𝕠𝕣𝕪𝕤𝕠𝕨𝕒𝕔 𝕚 𝕔𝕠𝕤 𝕤𝕗𝕠𝕥𝕠𝕘𝕣𝕒𝕗𝕠𝕨𝕒𝕔📸💛ℌ𝔞𝔯𝔯𝔦 𝔓𝔬𝔱𝔱𝔞𝔥⚡🐕𝙲𝚊𝚟𝚊𝚕𝚒𝚎𝚛 𝙺𝚒𝚗𝚐 𝙲𝚑𝚊𝚛𝚕𝚎𝚜 𝚂𝚙𝚊𝚗𝚒𝚎𝚕🦇#loveislove,"mery_l12
No jakaś bajka
°
°
°
#clouds #goldenhour #sunset #rain
4w","mery_l12
Taki fajny dom dwie ulice dalej
°
°
°
°
#modern #house #modernhouse #sunset
5w","mery_l12
Praca na konkurs u @tintaplastyczna
#tintaplastyczna #royaltalentspoland
5w",1.0,,,,,,,,,,
abberk,1.0,634.0,916.0,1138.0,1.0,married to @bellaalbert ♡,"abberk
Så jäkla skönt att få möjlighet att prioritera träningen ♡ 10km #brämhult #ymerskogen 🇸🇪 #nofilter
2d","abberk
Heja di gule!!! ⚽️💛🖤
@ifelfsborg vs @ifkgoteborg
#utomhuspremiär 📺☀️🍀
@kanal5sverige
4d","abberk
Bra att få lite kyla hemma efter en hel dag i solen med klass 3B ☀️💦 #klassfest #elliotbus #gintonic
4d",1.0,,1.0,,,,,,,,
courtneykeira,1.0,720.0,1611.0,49.0,,"All that I'm after is a life full of laughter, as long as I'm laughing with you 🤍",,,,1.0,,1.0,,,,,,,,
tripsandmeals,1.0,3313.0,2797.0,899.0,1.0,"Enjoying life❤️with cooking, travelling and taking nice pictures📷 Contact: tripsandmeals@hotmail.com","tripsandmeals
Fruit, yoghurt, noten en chiazaad😋
Power breakfast👊 #breakfast #healthybreakfast #healthyfood #gezondontbijt #ontbijt #desayuno #chiazaad #petitdéjeuner #gezondeten #yoghurt #yoghourt #strawberry #blueberry #kiwi #banaan #banana #nuts #coffee #koffie #foodphoto #foodie #tripsandmeals
13h","tripsandmeals
Zalm in soyasaus (look erin gemarineerd) met Edanamebonen 😋
Puur... en zo lekker!
#zalm #edamame #bonen #healthyfood #salmon #saumon #beans #foodie #foodphoto ##koken #cooking #tripsandmeals
1d","tripsandmeals
Just another day at the (home) office today. Need a copy? #throwback #cadiz #cádiz #oldtown #andalucia #andalusia #andalucía #andalusie #throwback #espana #españa #spain #spanje #hercules #havana #columbus #bwphotography #blackandwhitephotography #travel #campervanlife #camperlife #roadtrip #mediterraneansea #sea #tripsandmeals
1d",1.0,,,,,,,,,,
marckschram,1.0,362.0,574.0,83.0,1.0,Tiktok:marckschramTwitter:marckschramFacebook:marckschram                  ☝️,"marckschram
Waneer je ongelooflijk veel stres krijgt als je in de wacht kamer staat van de tandarts zit.
Deze situatie heeft iedereen toch?
Kom ik binnen heeft die gozer lunch pauze 🙄 maar goed een kwartier later lig ik daar mijn hart maar te meer slagen dan een pingpong kampioen.
3d","marckschram
Waneer ga ik die is gebruiken? 🤔
17w","marckschram
Lawinepijl van mijn oom 🧨
24w",1.0,,,,,,,,,,
sapatoverde,1.0,11300.0,849.0,1280.0,1.0,"eco #vegan #ethical #animalfriendly! Loja Ecológica, Vegan, Sustentável, Ética, Amiga dos Animais!","sapatoverde
NOVIDADE! Temos uma nova marca de copos menstruais: FUN CUP! 😃
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
Pack de 2 copos menstruais (1 tamanho A e 1 tamanho B), desenhados com uma forma anatomicamente mais correta para maior conforto. Este pack é especialmente pensado para pessoas que tenham dúvidas sobre qual o tamanho a usar e/ou pessoas que queiram um copo para os diferentes dias de fluxo. 😉
.⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
📍 Rua das Chagas, 31-33 Lisboa
💻 Encomende online em www.sapatoverde.pt
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
#funcup #funfactory #zerowaste #eco #ecofriendly #vegan #veganlifestyle #allergycertified #biodegradable #menstrualcup #safetheplanet #sustainableliving #plasticfreeperiods #desperdiciozero #menstruationmatters #lisboavegan #ecoveganstore #sapatoverdeshop
1d","sapatoverde
A camisa Elvas, da @naz.fashion, é 100% linho, de manga curta com botões em madeira. Todos os detalhes contam! 😉
.
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
📍Rua das Chagas, 31-33 Lisboa
💻Encomende online em www.sapatoverde.pt
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
#linen #sustainablefashion #slowfashion #handmade #ecofashion #letsgetethical #sustainablefashionbrand #madeinportugal #sustainableliving #ecovegan #ecofriendly #ethicalconsumer #vegan #veganpeople #ecofriendly #lisboavegan #sapatoverdeecoshop #ecoveganstore
2d","sapatoverde
Para produzir uma garrafa de plástico de 1L são necessários 3L de água, 250ml de gasolina e ainda demorará mais de 100 anos a decompor-se. O planeta merece algo melhor, não?🌏
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
A estrutura super porosa do carvão ativado de bambu funciona como filtro para a água da torneira, reduzindo a presença de cloro, regulando o pH e melhorando o seu sabor!
.⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
📍 Rua das Chagas, 31-33 Lisboa⠀⠀⠀
💻 Encomende online em www.sapatoverde.pt
.⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
#banbu #banbu.zerowaste #filtropurificador #filtrodecarvão #carvaoativado #veganlifestlye #zerowastekitchen #reutilizar #zerowaste #zerodesperdicio #lixozeroportugal #semdesperdicio #adeusdescartaveis #sustainableliving #fairtrade #ecofriendly #ecoveganstore #crueltyfree #lisboavegan #sapatoverde #biodegradable #bio #ecofriendly #lisboavegan #sapatoverdeecoshop #ecoveganstore
4d",1.0,,,,,,,,,,
makelaarvictor,1.0,195.0,275.0,68.0,1.0,"Abonneer op m'n YouTube MakelaarVictor de leuke vlog over makelaardij & aanverwante zaken, ik ben vlogger en werk bij RVEstate RealtorVictorEstate","makelaarvictor
Check 1, 2! Hier ben ik weer.
Zojuist met de post binnengekregen:

The 10X Rule van @grantcardone
THANK YOU UNCLE G!
Dus helemaal happy mee.
Straks de Real Estate Live Training Webinar. Enorm zin in!
Pen en papier in de aanslag.... Als je tijd hebt, kijk mee. Lukt het niet, bel me voor een update.

#realestate
#makelaarvictor
#amsterdam
#iamsterdam
#grantcardone
#dutchrealestate

#slagerijwisker
2w","makelaarvictor
Check 1, 2! Hier ben ik weer! #MakelaarVictor altijd #onderweg nu in #mijdrecht want ik taxeer in Amsterdam én omstreken. 😉

Maar.... Het is momenteel met voorzorgsmaatregelen 🤓 mogelijk om te #taxeren. Het moet bij woningtaxaties dat je binnen in de woning de opname doet. Dat kan als iedereen zich houdt aan de voorschriften. Validatie is alleen mogelijk bij opname binnen omdat de bank toch een grote zak #geld 💰 voorziet voor jouw (nieuwe) #huis of appartement.
Ik vind het wel surrealistisch, de #lente ☀ is begonnen, buiten bijna niemand, straten redelijk leeg, winkels half open half dicht. En dan dit: GEEN handenschuudden. Dat is raar als je bij iemand op bezoek gaat in huis. Ik schud dus even geen handen. 👍 Met respect door je woning zonder dat je met me mee loopt... iedereen doet zijn best.

Hou afstand, zorg voor elkaar en blijf vriendelijk. We kunnen het samen!
💯🎶❤ #RVEstate
#makelaar
#taxateur
#Amsterdam
#insideview
#vastgoed
#realtor
#valuer
#realestate
#DutchRealEstate

#iAmsterdam
#greateramsterdam
#amsterdamregio

#influencer
#YouTuber
#vlogger
#entrepreneur
#beardofdumbledore
11w","makelaarvictor
Check 1, 2! Hier ben ik weer! #MakelaarVictor altijd #onderweg nu in #oudwest op de Willem de Zwijgerlaan. Mooie brede groenstrook binnen de ring. Lekker aan het werk.

#RVEstate
#makelaar
#taxateur
#Amsterdam
#insideview
#vastgoed
#realtor
#valuer
#realestate
#DutchRealEstate

#iAmsterdam
#greateramsterdam
#amsterdamregio

#influencer
#YouTuber
#vlogger
#entrepreneur
#beardofdumbledore
13w",1.0,,,,,,,,,,
raghaniii,1.0,90.0,224.0,25.0,1.0,DesignerOwner of @raghanisoekhai Bringing more light into our beautiful world ✨,"raghaniii
🌸🎀 #artist #designer #fashion #art #love #vegan #luxury
4d","raghaniii
Lately, while throwing myself in the deep, I’ve felt a combination of excitement and nostalgia.
And me being me, loving flowers and having a hard time parting with some bouquets, I let them dry, so I can always have an incentive to remember ♥️ #summer #love #nostalgia #flowers #art #artist #bouquets #colourful #lifestyle
2w","raghaniii
Messy hairdos sometimes work out a little
#lady #entrepreneur #growth #happy #spreadlove #vegan #art #artist #red #luxury
4w",1.0,,,,,,,,,,
ben_roess,1.0,344.0,458.0,3.0,1.0,• inked • photography • art • new design university •,,"ben_roess
| red haze head| photo: @u.aydt |
22w","ben_roess
| oak - camera: @fabianwohlfarth |
30w",1.0,,,,,,,,,,
sjors_thilleman,1.0,144.0,433.0,45.0,,"I love atletiek C2 🎽Bestie's ylona,Aron,Luca en jessie🦊🐯❤❤",,,,1.0,,,,,,,,,,
ndemy0456,1.0,29.0,77.0,9.0,,Focus on the good💕💛,,,,1.0,,,,1.0,,,,,,
waarmiddelburg,1.0,316.0,292.0,72.0,1.0,,"waarmiddelburg
Zondag 21 juni VADERDAG! 💙 Wij hebben genoeg ideeën om je vader te verwennen. Alle cadeaus van WAAR vertellen een goed verhaal. Ze zijn verrassend en mooi ontworpen, gemaakt van vriendelijk materiaal of van afgedankte spullen.
#waarmiddelburg #ditiswaar #waar #vaderdag #vaderdagcadeau #waardering #waardevol #weesloyaalkooplokaal
3d","waarmiddelburg
De zomer komt eraan 🌞, laten we samen genieten!
Zelf Sangria, iced tea of tafel water maken.
#waarmiddelburg #ditiswaar #pineut
#zomerinzeeland #fairtrade #diy
1w","waarmiddelburg
Van 13 tot 17 uur zijn wij open! #waarmiddelburg #ditiswaar #shoplocal #shoppen #middelburg #pinksteren #gezelligheid #kooplokaal
2w",1.0,,1.0,,,,,,,,
daniellegrega,1.0,2897.0,1429.0,971.0,1.0,🇺🇸 team usa field hockey | osaka sponsored athlete | odu | vital proteins influencer | scorrd ambassador•1 Cor 16:13• ☀️,"daniellegrega
Verified
Join the biggest hockey community. Have the chance to be scouted as a player or coach. Scorrd is a social network to post your own pictures and read about hockey happening worldwide. Sign up for free with your complete hockey profile and discover the world of hockey all in one place. Join my community and follow my profile on Scorrd. Click the link in my bio to sign up and start connecting and posting.
6h","daniellegrega
Verified
Love myself a little girls trip 🥰
1d","daniellegrega
Verified
✊🏿✊🏾✊🏽✊🏼✊🏻 #blackouttuesday
2w",1.0,,1.0,,1.0,,,,,,
yasminaa20,1.0,21.0,316.0,7.0,,,,,,1.0,,1.0,,,,,,,,
tulijuli,1.0,200.0,597.0,88.0,,Frankfurt am Main | AmsterdamPhD student at the Scene Grammar Lab and investigating eye movements in VRFormer Research Master's Psychology student,,,,1.0,,,,,,,,,,
_miss_poes_,1.0,22.0,169.0,7.0,1.0,@Auvergne,,"_miss_poes_
💬 I can smell you.
.
.
.
#awienerinauvergne
#belhomme #gunther
#wienerdog #teckel #dachshund #dackel
55w","_miss_poes_
♡
💚💙☀️
68w",1.0,,1.0,,,,,,,,
jaapkroonfotografie,,3579.0,2179.0,10110.0,1.0,Exhibition Pakistan closed Covid19 @dedakkas Haarlem  |Docu-Travelphotographer| Musicphotographer |booking info@jaapkroon.nl |,"jaapkroonfotografie
Dit keer mocht ik voor de camera staan. Felice maakte deze foto’s met de analoge Yashica LM, een 6x6 medium formaat camera!
.
📷 : @felice_hofhuizen .
#filmphotography #analogphotography #portret #jaapkroonfotografie #ishootfilm #yashica #6x6 #mediumformat #kodakprofessional #kodakportra400
1d","jaapkroonfotografie
In de geleende analoge Yashica LM stopte ik ook een rol Kodak Portra 400!
.
.
#analogphotography #filmphotography #natuur #haarlem #eend #koe #yashica #mediumformat ##6x6 #kodakprofessional #kodakportra400 #filmrolletje #ishootfilm #filmisnotdead #staybrokeshootfilm
1d","jaapkroonfotografie
Dan fiets je van Heemstede naar Haarlem op de Herenweg en dan moet er uiteraard even gestopt worden. Collega Robert fotografeerde de making of!
.
.
#nahetwerk #crisisopvang #zonsondergang #herenweg #heemstede #shotoniphone #iphone8 #sunset #nature
1d",1.0,,1.0,,1.0,,1.0,,,,
supmission023,1.0,228.0,197.0,25.0,1.0,HUP on your SUP & clean UP!,"supmission023
BAM!!! LIEVE LEUKE BETROKKEN HAARLEMMERS!!!! WE ZITTEN HELEMAAL RAMVOL VOOR DE SUPmission023#4 VAN VRIJDAG 19 JUNI AANSTAANDE!!! AANMELDEN IS DUS HELAAS NIET MEER MOGELIJK..... Maar niet getreurd. Er komt natuurlijk binnenkort SUPmission023#5. Houd onze Facebook, Instagram en website in de gaten voor de nieuwe datum en voor de updates van de missie die we vrijdag met elkaar gaan klaarspelen. Heel veel dank voor alle aanmeldingen en heel veel plezier vrijdag!!! Een grote groene zoen van het SUPmissionteam💚

#SUPmission #samenmakenwehaarlemschoon #huponyoursupandcleanup #cleanup #hupopjesup @gemeentehaarlem @kiteflow.nl
3d","supmission023
Koos, Karen en Jasper waren vandaag vroeg uit de veren voor een MiniSUPmission. Voordat ze op hun sup stapten maakten ze nog even deze foto met spullen die op de kade waren achtergebleven. Lollig he? Of nee toch niet.. Lieve Haarlemmers, neem alsjeblieft je zooi mee na een avondje buiten chillen. Het is toch te zot voor woorden dat anderen dat voor je op moeten ruimen? ! Dank Koos, Karen en Jasper #keepupthegoodwork #awareness #samenmakenwehaarlemschoon #MiniSUPmission 💚
5d","supmission023
We vinden al onze fans, supporters en volgers natuurlijk allemaal even lief maar een enkele keer zit er wel een héél bijzondere tussen @andre_kuipers_officieel #cleanuptheworld #plasticpollution #nomorewaste 😀👌🏽💚
6d",1.0,,,,,,,,,,
ce2_conference,,217.0,207.0,26.0,1.0,CE² ist die neue umfassende Plattform für die Kreislaufwirtschaft in der Schweiz. Save the Date: 17. September 2020#ce2,"ce2_conference
Circular Hub Insights: Die @voegeliag ist die weltweit erste Druckerei mit einer Cradle to Cradle® Gold Zertifizierung. Mehr dazu im Beitrag unseres Medienpartners Circular Hub (Link in Bio).
.
#CE2 #circularswitzerland #circulareconomy #cradletocradle #c2c2019
1w","ce2_conference
Save the Date! CE² geht in die nächste Runde – am 17. September 2020 in Interlaken.

Anmeldung und laufend neue Informationen zur Konferenz finden Sie auf unserer Webseite (Link in Bio).
.
#ce2 #circularswitzerland #circulareconomy #actincircles
2w","ce2_conference
Die Corona-Krise stellt die Wirtschaft auf den Kopf. Welchen Beitrag kann Kreislaufwirtschaft für den Wiederaufbau liefern? Circular Economy Switzerland hat Argumente und Handlungsempfehlungen formuliert: www.circular-economy-switzerland.ch/kreislaufwirtschaft
.
#CE2 #circularswitzerland #circulareconomy
2w",1.0,,,,,,,,,,
pokeandmoretilburg,1.0,1524.0,386.0,871.0,1.0,"💚 Fresh, healthy and delicious💚 Poké & smoothie bowls💚 Pick up & delivery💚 Order on www.pokeandmore.nl💚 UberEats, Deliveroo and Thuisbezorgd","pokeandmoretilburg
𝙃𝙖𝙥𝙥𝙞𝙣𝙚𝙨𝙨 𝙞𝙣 𝙖 𝙗𝙤𝙬𝙡
🌱 Come get your dose of healthy food 🌱
📸 @epicurean.ist
•
•
#poke #pokebowl #salad #pokebowls #pokeandmore #hawaii #tilburg #tilburgismooi #foodticket #delivery #poké #pokelovers #pokébowl #healthyfood #healthylifestyle #healthyeating #gezond #gezondeten #vegan #veganfood #vegetarian #vegetarianfood #foodie #foodporn #goodfood #food #freshfood #togo #foodstagram
11h","pokeandmoretilburg
ᴘᴏᴋé ʟᴏᴠᴇʀs
Psst...Wist je dat wij ook cadeaubonnen hebben? Leuk voor vaderdag 😉 Het bedrag is zelf in te vullen 🎁 ✌🏻
📸 @manonn_t
•
#poke #pokebowl #poké #pokebowls #pokeandmore #hawaii #tilburg #tilburgismooi #avocado #pokébowl #pokelover #pokelovers #healthyfood #healthylifestyle #healthyeating #gezond #gezondeten #vegan #veganfood #vegetarian #vegetarianfood #foodie #foodporn #goodfood #food #freshfood #freshfoodmatters #vaderdag #vaderdagcadeau #vaderdagtip
1d","pokeandmoretilburg
Poké bowl time!
Thanks for the amazing picture @sproosje 😍 don’t forget to tag us in your poké pictures
•
•
#poke #pokebowl #poké #pokebowls #hawaii #tilburg #tilburgismooi #pokébowl #pokelover #pokelovers #healthyfood #healthylifestyle #healthyeating #gezond #gezondeten #vegan #veganfood #vegetarian #vegetarianfood #foodie #freshfood #fitfood #fitfoodie #happy #yummy #foodisbae #foodstagram #foodisbae❤️
2d",1.0,,1.0,,,,,,,,
sigifilip,1.0,7293.0,971.0,198.0,1.0,Naturfotografie & Drohnenfotografie 🗺 Bavaria  📷 Olympus E‑M5 Mark III 🚁 Dji Mavic II Zoom ⇊ #MIXPIX 50% Gutschein ⇊,"sigifilip
Durch ein Foto friert man einen Moment für die Ewigkeit ein.
.
.
.
.
.
📷: @olympuscameras E-M5 Mark III
Lens: M.Zuiko Digital ED 12‑40mm F2.8 PRO
Exif: ISO 100 / ƒ7.1 / 1/100sec.
.
.
.
.
#nature #deggendorf #bavaria #flowers #naturephotography #naturelover #nature_lovers #olympus #olympusphotography #photooftheday #photography #bayern #sunshine #sunset #naturfotografie #landscapephotography #landscape #landschaftsfotografie #instagood
1d","sigifilip
Der eine sieht nur Bäume, Probleme dicht an dicht. Der andre Zwischenräume und das Licht.
.
.
.
.
.
📷: @djiglobal MAVIC II ZOOM
Exif: ISO 100 / F2.8 / 1/1000sec.
.
.
.
.
.
.
.
.
.
.
.
#bayern #bavaria #nature #naturephotography #naturelovers #drone #dronephotography #droneshots #wirinbayern #dji #luftaufnahme #landscapephotography #landschaft #landschaftsfotografie #bayerischerwald #heimat #heimatvonoben #photography #photooftheday
3d","sigifilip
Am Ende eines Tages ist nur wichtig, dass ein schöner Moment dabei war,der dich lächeln liess.
.
.
.
.
.
📷: @olympuscameras E-M5 Mark III
Lens: M.Zuiko Digital ED 12‑40mm F2.8 PRO
Exif: ISO 100 / F10.0 / 1/250sec.
.
.
.
.
#croatia #wanderlust #travel #fernweh #croatiafulloflife #croatiathevacationyoudeserve #visitcroatia #vistiistria #fazana #hrvatska #blacksndwhitephotography #photography #photooftheday #naturephotography #travelphotography #traveltheworld #travelblogger
5d",1.0,,1.0,,1.0,,,,,,
grootje_saar5,1.0,111.0,190.0,5.0,,,,,,1.0,,1.0,,1.0,,1.0,,,,
wereldwinkeldebilt,,362.0,387.0,173.0,1.0,,"wereldwinkeldebilt
Heb je nog inspiratie nodig voor vaderdag ? Hier alvast een inkijkje, maar kom gerust ff snuffelen in de winkel...
#vaderdagcadeau #fairtrade#eerlijkecadeautjes #wereldwinkelDeBilt#
2d","wereldwinkeldebilt
Vandaag is het internationale dag tegen kinderarbeid...
5d","wereldwinkeldebilt
Nu ook mondkapjes gemaakt door stichting Reinaerde in onze winkel...
#mondkapjes #fairtradecadeauwinkel#duurzaam#katoen#wasbaar#verplichtinhetov#
1w",1.0,,1.0,,,,,,,,
judithvanveenendaal,1.0,196.0,635.0,138.0,1.0,,"judithvanveenendaal
Actually #nailedit this time 🥳😄 #brownie #frambozen #raspberry #bakingwithtoddlers
2w","judithvanveenendaal
#nailedit part 2 maar man oh man #zolekker #bundtcake #nordicware #donnahay
5w","judithvanveenendaal
Zit er een maximum op hoeveel tompoucen je per dag mag? Ik vraag dit voor een vriend..#tompouce #toogoodtogo #nollen
6w",1.0,,,,,,,,,,
tim.kuzma,1.0,2842.0,907.0,16.0,1.0,•Singer🎤💕•Booking: timkuzma.booking@gmail.com                  041-278-540•KAD MI DOĐEŠ TI (COVER),"tim.kuzma
NAGRADNA IGRA/ GIVEAWAY❤️ Dragi moji! Ker me podpirate, spremljate..... sem se odločil, da jaz razveselim tudi vas!

PODARJAM KAR DVA KONCERTA Z SVOJIM BANDOM SAMO ZA VAS, PRI VAS DOMA, NA ROJSTNEM DNEVU, POROKI..... Vse kar moraš narediti je da:
• Mi slediš na IG in FB
• Si naročen na moj kanal YT
• In da v komentarju označiš svojega prijatelja/prijateljico z katerim bi se razveselil mojega koncerta z bandom kar pri tebi doma!
Za še več možnosti pa deli tole objavo na Ig story

NAGRADNA IGRA TRAJA DO PETKA 19.06.2020
VELIKO SREČE
3d","tim.kuzma
Dobro jutro vsem!❤️☕️
Upam da se kmalu družimo na koncertih....
#concert #me #tuesday
2w","tim.kuzma
#chill #musician #friday #fridayfun
2w",1.0,,,,,,,,,,
piggy_cute_cat,1.0,56.0,13.0,47.0,1.0,I'm piggy a cute fluffy cat,"piggy_cute_cat
#blackouttuesday
2w","piggy_cute_cat
Nap time 💤
4w","piggy_cute_cat
Silly noodle
16w",1.0,,1.0,,,,,,,,
nafas.laut,1.0,1216.0,2876.0,114.0,1.0,Aquatic Purrson 😼 🌊 • Free Thinker •,"nafas.laut
Cheap Gear, light travel, safety gear, Fun to the max 📷@johan_muliawan
#snorkeling #freedive
3d","nafas.laut
Denying Gravity.
.
.
a beautiful shot from talented camera guy @johan_muliawan
#freediver #freedive #freedivephotography
2w","nafas.laut
GunboundM battle royale 4 player

gunboundm Covid19 edition #gunbound #gunboundm #battleroyale
5w",1.0,,1.0,,,,,,,,
